sequence_id,Fixation_Count,Saccade_Count,Fixation_Ratio,MeanVelocity,MaxVelocity_Global,Velocity_STD,Total_Fixation_Duration,Mean_Fixation_Duration,abnormal_type,label_encoded
NOR_00000,147,3,0.98,0.024559452234025517,0.4799873906614137,0.072872109,147,1,normal,0
NOR_00001,150,0,1,0.01588509,0.097748981,0.021814818779197033,150,1,normal,0
NOR_00002,150,0,1,0.018081160305770904,0.2450675716400787,0.031377656,150,1,normal,0
NOR_00003,149,1,0.9933333333333333,0.020206082607092644,0.6180136201217634,0.054103856609730355,149,1,normal,0
NOR_00004,149,1,0.9933333333333333,0.020744325088027177,0.5842567112740238,0.05297157,149,1,normal,0
NOR_00005,150,0,1,0.036193004,3.251961992753298,0.26569515340287647,150,1,normal,0
NOR_00006,148,2,0.9866666666666667,0.026947431,0.6818688832020624,0.073024569,148,1,normal,0
NOR_00007,148,2,0.9866666666666667,0.023985168863053696,0.658384143,0.067438178,148,1,normal,0
NOR_00008,149,1,0.9933333333333333,0.017527596,0.3699280735869817,0.037455686,149,1,normal,0
NOR_00009,150,0,1,0.019671679687381104,0.3614949746462225,0.039281472076410605,150,1,normal,0
NOR_00010,149,1,0.9933333333333333,0.021049969,0.585687777,0.066306778,149,1,normal,0
NOR_00011,150,0,1,0.012598607397379804,0.1026206764064046,0.018426930808628877,150,1,normal,0
NOR_00012,149,1,0.9933333333333333,0.020973563988505636,0.5409238401426059,0.058612911571293655,149,1,normal,0
NOR_00013,150,0,1,0.015421438158155346,0.2282035634063924,0.027550557,150,1,normal,0
NOR_00014,150,0,1,0.028428699,0.8634983853005691,0.093496881,150,1,normal,0
NOR_00015,149,1,0.9933333333333333,0.075345119,8.742973489675752,0.7130574860989408,149,1,normal,0
NOR_00016,150,0,1,0.014441561789908582,0.1730405505202679,0.025338686,150,1,normal,0
NOR_00017,150,0,1,0.019374584765713583,0.1424884473360742,0.028937180401464396,150,1,normal,0
NOR_00018,150,0,1,0.018176560289597687,0.1823676592022104,0.034998781099964765,150,1,normal,0
NOR_00019,150,0,1,0.014512754458604397,0.2365596069910037,0.027342813192324508,150,1,normal,0
NOR_00020,150,0,1,0.013779045,0.098599809,0.020329778441967518,150,1,normal,0
NOR_00021,150,0,1,0.016569726525329207,0.1954692486293565,0.028901946,150,1,normal,0
NOR_00022,150,0,1,0.016360723173394896,0.1863269784138478,0.028324599272698342,150,1,normal,0
NOR_00023,150,0,1,0.016664812,0.230537982,0.030961275,150,1,normal,0
NOR_00024,150,0,1,0.018203676,0.2807815371634628,0.035715108648985146,150,1,normal,0
NOR_00025,149,1,0.9933333333333333,0.020544455194731893,0.4264616712397797,0.043928368828690945,149,1,normal,0
NOR_00026,150,0,1,0.016340632632367055,0.2118052936856457,0.029207663401512218,150,1,normal,0
NOR_00027,150,0,1,0.014286874284529499,0.1240065308227684,0.022967694464896722,150,1,normal,0
NOR_00028,150,0,1,0.015608551318751536,0.1662853202892583,0.028267417996096094,150,1,normal,0
NOR_00029,150,0,1,0.017401103174389934,0.1412226118448196,0.031089899684691287,150,1,normal,0
NOR_00030,150,0,1,0.018592553991931833,0.1415280874292064,0.033101164993423755,150,1,normal,0
NOR_00031,150,0,1,0.018318722689075265,0.1534994328372062,0.031666294385633016,150,1,normal,0
NOR_00032,150,0,1,0.014261704116074405,0.1188923279387485,0.024611100448895598,150,1,normal,0
NOR_00033,150,0,1,0.015830704458678114,0.2465557749384858,0.031642537433318484,150,1,normal,0
NOR_00034,150,0,1,0.012071735,0.1059022587946203,0.019853193,150,1,normal,0
NOR_00035,150,0,1,0.013646351288124204,0.1447464888132745,0.025332190470890345,150,1,normal,0
NOR_00036,150,0,1,0.019235417584801517,0.6041306196154934,0.068453305,150,1,normal,0
NOR_00037,150,0,1,0.019562230538677887,0.8504252000410364,0.088439794,150,1,normal,0
NOR_00038,148,2,0.9866666666666667,0.028511541,0.9878465192752758,0.11207582446948625,148,1,normal,0
